Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	R:\K\Kutichim\211221\62_Slot1-54_1_2674.d	R:\K\Kutichim\211221\62_Slot1-54_1_2714.d	R:\K\Kutichim\211221\63_Slot1-42_1_2676.d	R:\K\Kutichim\211221\63_Slot1-42_1_2716.d	R:\K\Kutichim\211221\64_Slot1-38_1_2678.d	R:\K\Kutichim\211221\64_Slot1-38_1_2718.d	R:\K\Kutichim\211221\65_Slot1-49_1_2680.d	R:\K\Kutichim\211221\65_Slot1-49_1_2720.d	R:\K\Kutichim\211221\66_Slot1-44_1_2682.d	R:\K\Kutichim\211221\66_Slot1-44_1_2722.d	R:\K\Kutichim\211221\67_Slot1-40_1_2684.d	R:\K\Kutichim\211221\67_Slot1-40_1_2724.d	R:\K\Kutichim\211221\68_Slot1-27_1_2686.d	R:\K\Kutichim\211221\68_Slot1-27_1_2726.d	R:\K\Kutichim\211221\69_Slot1-52_1_2688.d	R:\K\Kutichim\211221\69_Slot1-52_1_2728.d	R:\K\Kutichim\211221\70_Slot1-43_1_2690.d	R:\K\Kutichim\211221\70_Slot1-43_1_2730.d	R:\K\Kutichim\211221\71_Slot1-46_1_2692.d	R:\K\Kutichim\211221\71_Slot1-46_1_2732.d	R:\K\Kutichim\211221\72_Slot1-22_1_2694.d	R:\K\Kutichim\211221\72_Slot1-22_1_2734.d	R:\K\Kutichim\211221\73_Slot1-53_1_2696.d	R:\K\Kutichim\211221\73_Slot1-53_1_2736.d	R:\K\Kutichim\211221\74_Slot1-41_1_2698.d	R:\K\Kutichim\211221\74_Slot1-41_1_2738.d	R:\K\Kutichim\211221\75_Slot1-48_1_2700.d	R:\K\Kutichim\211221\75_Slot1-48_1_2740.d	R:\K\Kutichim\211221\76_Slot1-47_1_2702.d	R:\K\Kutichim\211221\76_Slot1-47_1_2742.d	R:\K\Kutichim\211221\77_Slot1-51_1_2704.d	R:\K\Kutichim\211221\77_Slot1-51_1_2744.d	R:\K\Kutichim\211221\78_Slot1-45_1_2706.d	R:\K\Kutichim\211221\78_Slot1-45_1_2746.d	R:\K\Kutichim\211221\79_Slot1-50_1_2708.d	R:\K\Kutichim\211221\79_Slot1-50_1_2748.d	R:\K\Kutichim\211221\80_Slot1-39_1_2710.d	R:\K\Kutichim\211221\80_Slot1-39_1_2750.d	R:\K\Kutichim\211221\81_Slot1-23_1_2712.d	R:\K\Kutichim\211221\81_Slot1-23_1_2752.d
P08133	P08133	ANXA6_HUMAN	ANXA6	Annexin A6	52233.6	38563.8	46837.8	43883.1	67349.2	73848.1	41877.7	33769.4	73014	73533.7	55094.8	56699	65873.7	70842.4	68071	69839.3	117297	126512	32575.4	31934.5	74919.8	71976.7	69199	68354.2	48798.9	46501	73980	73397.1	112122	103050	79011.9	74941.5	74432.5	66849.6	59348.8	46436.7	95154.4	82250.1	96720.5	100286
P08134	P08134	RHOC_HUMAN	RHOC	Rho-related GTP-binding protein RhoC	3097.71	2827	1704.07	2744.53	1148.08	2468.92	2808.19		5235.87	2561.34	2933.78	9951.94	2257.71	10825.1	7593.24	5655.18	14203.4		3864.96		2344.2	627.529	2716.1	2285.1			3886.38		2410.67	2593.51	6299.84	3825.1	1870.9	5523.76	8782.08	5156.02	3574.35	4407.57		11642.4
P08134;P61586	P61586;P08134	RHOA_HUMAN;RHOC_HUMAN	RHOA;RHOC	Rho-related GTP-binding protein RhoC	1651.63	1989.46	8474.19	5423.75	6948.42	5181.4	911.366	1103.53	24697.3	29447.5	27323.1	22931.6	28622.6	30599.4	23169.2	22151.1	21187.4	27275.6	17646.3	18821.3	26219.9	21997.6	7544.43	8887.47		2195.72	29488.8	26015.3	3587.78	3297.94	17446	4224.74	16721.2	18557.8	19056.7	11728	6324.02	195.373	19040.5	23908.5
P08134;P61586;P62745	P62745;P61586;P08134	RHOA_HUMAN;RHOB_HUMAN;RHOC_HUMAN	RHOA;RHOB;RHOC	Rho-related GTP-binding protein RhoC	1356.14		1799.68						21984.1	21660.2	8137.49	4497.73	9320.78	3194.88	14952.8	7609.64	11584.8	6964.83	8463.17	11238.6	9186.79	5280.43					12914.3	5751.28			3422.58	3112.98	9321.74	5785.05	5750.46	2261.95			9870.9	1894.64
P08174	P08174	DAF_HUMAN	CD55	Complement decay-accelerating factor	614.774	5626.22		2744.69	1191.12	1616.37			1691.36	3244.85		1330.99	2175.5		3098.92	2629.03	4031.77	4573.84	2348.99	3607.57	3456.73	3594.25					3889.38	4312.71	1806.96	3484.06	3406.95	4040.58	4145.8	2399.77	2392.97	986.097			4927.07	4334.55
P08185	P08185	CBG_HUMAN	SERPINA6	Corticosteroid-binding globulin	4026.72	1978.81	5352.94	3464.71	702.05		1551.05	1334.57	809.703	821.494	2476.59	2609.62	4037.78	2425.73	1151.2	1252.59	857.124	637.643	4627.41	3992.92	696.503	763.042	1136.83	1064.52			1549.8	1560.1	482.691	1255.32	1528.88	1665.78	814.809	1555.5	832.471	1225.21	647.653	617.012	1784.28	2597.07
P08195	P08195	4F2_HUMAN	SLC3A2	4F2 cell-surface antigen heavy chain	2678.1		3813.13	4831.99	3987.61	3281.84	2596.59	4288.15	2445.35	3391.11	3082.64	3672.75	6067.38	6489.02	5044.23	5644.3	4222.09	2276.1	8624.13	7287.47	3716.88	2483.86	4015.82	2951.11	3615.23		1512.81		2654.16	3723.9	4521.34	5985.51	2744.47	3664.72	4018.02	4593.04	7981.18	6694.54	5557.2	3530.69
P08237	P08237	PFKAM_HUMAN	PFKM	ATP-dependent 6-phosphofructokinase, muscle type	3525.97	1560.63	4524.22	3370.67	4676.21	3512.81	2052.02		4946.96	3765.71	4212.47	3342.28	3889.16	4588.6	1748.01	3090.13	3172.59	3296.3	3105.7	2335.98	4944.21	4546	3255.4	3737.68			5479.59	5785.15	2136.76	2451.67	3899.06	4090.45	3800.05	3661.95	3709.44	4536.72	2232.1	2095.38	2418.95	2796.08
P08237;P17858	P17858;P08237	PFKAL_HUMAN;PFKAM_HUMAN	PFKL;PFKM	ATP-dependent 6-phosphofructokinase, muscle type	4180.65	3149.98	5616.62	5030.08	5245.84	6874.08	7300.23	3359.39	6476.73	1749.33	2249.33	4828.32	3932.13	4594.46	3261.77	3152.49	570.501	2855.68	1994.73		4139.91	4028.07	5640.69	3783.25			8417.7	6195.18	2132.79	2554.12	3231.37	3571.41	1485.28	1330.65	4144.23		2536.96	328.084		
P08238	P08238	HS90B_HUMAN	HSP90AB1	Heat shock protein HSP 90-beta	13473.5	12928.9	6350.48	4829.5	14585.1	15890.2	25247.4	17821.2	17071.9	18661.3	2428.79	3636.83	31750.8	34806.2	16791.6	19485.5	14863.8	16986	14447.5	13927.4	23414.1	23723	18999	19777.5	17052.9	19011.3	19187.9	14330.2	12593.3	15300.2	2745.49	3805.06	21375.6	19280.5	17016.7	17616.8	12204.1	10495.2	12226.2	10650.4
P08238;P14625	P08238;P14625	ENPL_HUMAN;HS90B_HUMAN	HSP90AB1;HSP90B1	Heat shock protein HSP 90-beta	16447.5	8904.24	12441.6	7600.82	34260.9	24156.2	16807.5	8809.07	21994.1	17060.2	13784	9980.95	20541.7	17596.6	17547.7	14422.7	21560.8	19200.3	14903.4	14790.4	28062.5	20451.8	25183.4	23569.1	6223.7		9899.92	16090.8	20223.3	22583.9	4809.92	4352.07	19015.9	17183	17704.5	16499	15454.1	11284.3	22085	8129.54
P08238;Q58FF8	Q58FF8;P08238;Q58FF7	H90B2_HUMAN;HS90B_HUMAN	HSP90AB1;HSP90AB2P	Heat shock protein HSP 90-beta	8424.85	6247.75	4022.93	3983.62	8149.45	5236.14			12725.5	9865.41	1785.24		15311.6	11465.3	7969.43	7747.03	8966.41	10327.2	7688.62	6823.04	12964.6	11305.8	17022.9	15129.6			8909.75	8822.93	7882.89	7290.92	2492.45	1938.92	11222.5	10071.8	9036.69	8108.68	5975.91	5329.81	5940.51	5026.14
P08240	P08240	SRPRA_HUMAN	SRPRA	Signal recognition particle receptor subunit alpha					1017.79				1659.48	1275.75		867.932	1076.72	1127.44	1422.53	2252.96	804.966	956.646	1053.25		1557.15		1459.68	1656.62					1310.96					1473.32	1294.25	1461.29	757.894	793.509		703.516
P08246	P08246	ELNE_HUMAN	ELANE	Neutrophil elastase			3745.28	2023.41	1403.82	1755.61					1530.85				1188.83				1988.05	3941.03	1365.53		3100.68	2758.99							2178.5			1001.16	1008.86	1910.25	1538.21	2156.96	1240.39	1294.13
P08253	P08253	MMP2_HUMAN	MMP2	72 kDa type IV collagenase	3580.73	3614.38	6152.89	3933.46	10087.3	9119.99	8710.86	6203.36	3237.02	3226.69	2285.75	2320.54	2391.72	2043.8	2619.5	2652.44	5246.43	5248.8	5473.5	5078.7	2789.48	2887.86	5729.81	4618.54			3136.67	3057.4	11825.2	8442.72	4553.5	4059.77	4679.96	4443.03	3946.02	3391.95	9411.14	7013.44	5537.31	4908.13
P08294	P08294	SODE_HUMAN	SOD3	Extracellular superoxide dismutase [Cu-Zn]	289799	238800	125552	191939	87156.1	133450	216584	203082	101449	104153	43104.9	57354.4	46150.8	52185.4	72329.7	70243.2	267475	208360	99872.6	84508.6	71936.3	63054.1	87442.1	65770.9	531129	423904	190858	138461	249880	228415	185941	146240	185516	140208	113424	78971.3	165578	136290	152579	160115
P08311	P08311	CATG_HUMAN	CTSG	Cathepsin G	2483.32	2776.26	1965.89	4320.66			3650.97	2431.55	463.051	745.952	1070.39	2674.17			1356.11	2554.51	1556.04	1250.26	3455.85	5174.68	3438.42	701.721	1266		6097.01	6976.55	930.9	502.975	1208.01		1453.53				1723.97		1735.84			
P08397	P08397	HEM3_HUMAN	HMBS	Porphobilinogen deaminase	1401.36	3151.66	2913.8	5920.17	2307.34	3094.45	3951.09	2113.81	867.249	245.715	1332.04	2123.91	1491.88	1432.06	1659.82	1780.89	1440.35	280.785	2439.89		1955.92	1990.5	3622.86	1840.83			1702.13	2503.11	1928.65	2382.14	1940.72	1878.53		3332.65	1621.82	1804.21	2859.7	3583.06	1473.66	1512.32
P08493	P08493	MGP_HUMAN	MGP	Matrix Gla protein	167606	206261	30113.2	34126.1	18484.3	55835.2	83524.5	208674	26987	51926.1	5270.66	7779.66	9940.49	10938.9	50630.3	46665.3	15168	12255.2	39712.6	32873.6	13556.4	17355.8	29549.8	34150.9	354648	66653.3	37605.4	30660.4	299695	487583	40436.1	38559.6	60015.7	57529.6	37725	69380.5	159218	209455	133912	100516
P08514	P08514	ITA2B_HUMAN	ITGA2B	Integrin alpha-IIb	2709.94	4354.77	1798.86	1711.98		1385.28	2017.2	1500.55	685.555				813.969					313.941	428.491	1042.02		2114.81	3577.29	4709.32						366.591							1458.29	1530.5		
P08519	P08519	APOA_HUMAN	LPA	Apolipoprotein(a)	114950	104994	41160	67137.2	10661.5	24080.9	40862.4	59046.9	22395.5	39459.9	28742.5	36765.9	21608.1	32104.8	55621.9	68638.3	7871.17	9478.52	34560.3	30811	16718.4	22323.7	4130.77	3887.21			7683.8	7614.94	17076.2	18967.9	41242.8	31839	4553.49	5472.07	31522.8	21051.8	12064.8	15510.7	11762.2	14242.7
P08559	P08559;P29803	ODPA_HUMAN	PDHA1	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial	1129.74			1805.18	1970.33	1546.37		2288.97	1845.26	1573.32	1456.22	2194.22	1652.55	2112.43	1213.59	1258.42	1019.04	1613.04			1386.28	1308.81	2483.13	1669.51			1557.91	1119.17	1154.77	3391.99	1516.63	2238.83	1493.33	2595.5	1870.07	2172.21				
P08567	P08567	PLEK_HUMAN	PLEK	Pleckstrin					1493.05	1771.32			1447.16	1701.25	835.562	974.56			1528.15	1364.16		860.201		1303.43	2114.64	2109.73	3008.04	3042.08			1108.38	1230.65	1846.37	1759.67			910.678	1876.82	1207.81	1325.49	2895.53	2110.12		
P08571	P08571	CD14_HUMAN	CD14	Monocyte differentiation antigen CD14	6932.19	7859.4	17087.5	24544.2	7988.03	14610.1	17905.8	18337.4	16789.4	16710.1	15087	16460.7	9497.88	11680.2	16019.8	16671.2	9565.45	8776.19	29425	26204.9	12969.2	9821.65	11017.4	13220.6	10105.9	8879.4	11383	8656.6	10458.1	10226.8	15678.5	18848.8	13353.6	19952.1	16720.7	21759.5	22447.4	16413.5	16196.2	11853.9
P08572	P08572	CO4A2_HUMAN	COL4A2	Collagen alpha-2(IV) chain	31511.8	38904.6	27818.9	35532.1	8556.97	13006.1	5440.7	32598.5	11351.2	13918.1	13271.4	11903	13314.1	11252.2	14128.7	14436.7	14797	20508.5	17733	13382.6	11429.8	9156.11	15666.4	12636.2	35311.9	36083.3	13526.4	23172.2	25487.9	40911.5	23388.4	29995.9	27802.6	27615.6	16421.1	20029.9	23185.1	24100.3	57089.8	18609.5
P08574	P08574	CY1_HUMAN	CYC1	Cytochrome c1, heme protein, mitochondrial					1432.57				737.162		852.726	822.351	1969.1	2125.55	754.833			627.978			456.692		850.901	1493.16				1089.53									793.93			
P08575	P08575	PTPRC_HUMAN	PTPRC	Receptor-type tyrosine-protein phosphatase C		5620.68			2694.54	4480.35			5902.09	6118.27	1161.03	902.7			6791.34	5511.16	3087.44	1839.63	4586.87	5548.97	5857.15	4525.53	2795.15	2096.32			3588.74	3161.66	2342.65	1697.6	1087.9	847.056	3190.81	3506.52	5401.92	5101.24	3844.42	2882.36	3977.82	2898.08
P08579	P08579	RU2B_HUMAN	SNRPB2	U2 small nuclear ribonucleoprotein B''					852.383																304.634	365.263	1113.98							166.178										
P08582	P08582	TRFM_HUMAN	MELTF	Melanotransferrin		1032.53																											3634.3	3567.61							1748.1			
P08603	P08603	CFAH_HUMAN	CFH	Complement factor H	171362	158728	128418	144209	34040.7	33330.4	40883.4	37498.7	187630	207777	180479	191914	121289	141636	208337	200528	75899.1	68128	328571	376565	104370	102267	60557	68126.3	37789.5	36994.1	60758.8	63440.3	39825	47805	147920	140813	93529	75124.3	173210	135529	115226	118129	186760	155942
P08603;P36980;Q03591	P08603;P36980;Q03591	CFAH_HUMAN;FHR1_HUMAN;FHR2_HUMAN	CFH;CFHR1;CFHR2	Complement factor H	2407.82	9433.85		5007.87								1300.42		1218.69	2155.25	2941.47			4557.02	4197.47						2569.45									2480.62					
P08603;Q02985	P08603;Q02985	CFAH_HUMAN;FHR3_HUMAN	CFH;CFHR3	Complement factor H	75076.6	47353.5	54239.6	48390.6	24781.7	21312.4	7486.79	7160.75	55307.5	62932.7	49834.5	38701	33533.9	28333.8	52126.8	52343.2	23891.6	22401.3	72831.7	99406.9	47931.9	45608.1	40178.5	35408.6	8842.06	8188.14	22965	24397.8	23270.4	18259.5	35038.5	27633.5	23018.9	15874.6	33066.9	22879.3	52939.6	37569.5	41562.8	36473.4
P08603;Q03591	P08603;Q03591	CFAH_HUMAN;FHR1_HUMAN	CFH;CFHR1	Complement factor H	39147.2	59608.3	18223.1	35341	29574.3	47537	59468.2	55227.8	31339.1	20716.5	19681.7	28291.7	27911.5	29604.5	30456.9	40391.3	27720.5	19049.3	52074.8	62136.3	41067.9	36485.4	41123.4	31094.2	4860.05	39072.8	17646	26549.2	33614.1	40546.7	45546.8	60199.1	36944.8	18519.6	42615.9	41874.7	46833.4	49343.3	42177.8	37188.6
P08621	P08621	RU17_HUMAN	SNRNP70	U1 small nuclear ribonucleoprotein 70 kDa	931.652	4368.19			2433.84	3297.5			2374.49	2206.32			1010.39	1037.31	2253.26	1745.98	2492.94	2108.16			2254.44	2414.7	1717.34	1457.13			1923.14	1775.33	2517.23	1564.87			1811.66	1141.99	852.985		3015.89	2046.88	1605.37	1404.06
P08631	P08631	HCK_HUMAN	HCK	Tyrosine-protein kinase HCK				1593.89	1327.75	2946.2			1715.62	1533.19	1782.54	1603.2	1488.49	1138.26	1445.36	3122.88	762.706			1831.39	1678.14												1105.19	1717.2	1721.29	1737.12				
P08637	P08637	FCG3A_HUMAN	FCGR3A	Low affinity immunoglobulin gamma Fc region receptor III-A	1870.29	3286.66	3647.92	2925.28	1606.67	954.944		2814	1702.62	1907.69	1386.98	1098.63	1515.93	1862.68	4075.02	3716.32	1231.97	1304.7	4298.2	3048.41	1900.15	1824.88	1966.66	1797.12					1172.86	878.26	1718.18	1858.53	2593.46	1695.72	3191.8	2741.36	3058.45	2266.84	2270.77	1265.34
P08648	P08648	ITA5_HUMAN	ITGA5	Integrin alpha-5	9829.56	6393.01	9399.61	14838.8	4716.76	9791.6	26402.4	30261.7	9097.48	12987.3	7228.13	7270.62	25063.9	17306.5	11654.9	12991.2	7677.74	13503.1	14948.2	14482.2	6330.11	7837.89	20491.2	23470.9			7288.42	6198.72	11912.5	12259.6	9505.03	9107.26	13383.5	9625.53	12685.6	11158.3	20206.2	18267.7	25299.8	14179.1
P08670	P08670	VIME_HUMAN	VIM	Vimentin	1.3734e+06	944429	1.50679e+06	1.40304e+06	1.146e+06	1.39726e+06	1.0363e+06	895885	1.56237e+06	1.65723e+06	1.56542e+06	1.87963e+06	1.22641e+06	1.41733e+06	1.71984e+06	1.83011e+06	1.8094e+06	1.75268e+06	821929	820580	1.67418e+06	1.61683e+06	1.75642e+06	1.70526e+06	1.46755e+06	1.67554e+06	2.17634e+06	2.01629e+06	2.30313e+06	2.25313e+06	2.32033e+06	1.93169e+06	1.8195e+06	1.73373e+06	1.61716e+06	1.45805e+06	1.65059e+06	1.55654e+06	1.22446e+06	1.27339e+06
P08670;P17661	P08670;P17661	DESM_HUMAN;VIME_HUMAN	DES;VIM	Vimentin	59313.5	58644.2	70044	62534.6	104415	98730.1	86373.9	81188.8	54711.3	57661.2	49561.5	65688.3	54799.4	63420.1	66474	65239.9	60643	61096.1	21627.2	21203.1	74954.9	90612.3	98682.6	75364.8	106879	112585	107351	80938.9	120361	144501	95036.6	81674.4	78844.4	79571.6	61227.7	55582.6	76115.5	85661.8	46186.4	51662.1
P08697	P08697	A2AP_HUMAN	SERPINF2	Alpha-2-antiplasmin	16700.6	13089.6	20252.7	21821.5	5302.19	3334.03		13014.6	6688.88	6742.28	20007.5	16713	17400.2	15758.4	12413	14214.4	3316.95	4353.71	22282.9	18849.8	7230.75	8147.82	6818.5	5770.72	13338.1		7842.04	11064.9	2466.78	3677.3	13826	20084.5	2898.88	3350.41	14131.7	15674.1	5074.33	5280.75	10852.5	8102.63
P08708	P08708	RS17_HUMAN	RPS17	40S ribosomal protein S17	1377.6		1371.13	1245.82	915.229	817			1096.77	1242.32	954	850.969	3268.35	3893.09	1535.99	1806.84	1456.07	1135.42	1390.72	1883.83	1124.46	1299.48	1468.55	970.436			776.212	1336.3	1384.56			618.02	1642.47	821.553			1140.44	1109.44		836.305
P08709	P08709	FA7_HUMAN	F7	Coagulation factor VII	9660.03	6315.61	6923.73	2031.32	2826.23	1440.1	9785.33	4172.24	1100.6	1050.35	4305.28	4388.2	2190.25	2888.12	2911.82	2824.72	1222.99	1380.64	10335.5	11011.7	3704.89	3596.67	3936.37	5146.03			2013.81	2946.94	7790.27	9916.37	8832.16	8308.64	1803.73	1933.03	5043.97	4723.58	3414.49	3622.04	7300.67	8424.86
P08727	P08727	K1C19_HUMAN	KRT19	Keratin, type I cytoskeletal 19					1004.27					1537.67		681.987					2238.78	1725.13						1382.86			2471.41	1931.66		981.885	1245.89			1129.81	783.119		751.404			
P08727;Q04695	Q04695;P08727	K1C17_HUMAN;K1C19_HUMAN	KRT17;KRT19	Keratin, type I cytoskeletal 19					1848.93	2199.51			1051.18	683.738		1355.37		1088.44			2271.25	2107.53	737.153	818.055	718.994		991.618				1738.28	1758.8	1591.32	1286.44	1437.86	1378.49	1064.84	1185.71	995.829		1068.6	1057.41	980.318	
P08729	P08729	K2C7_HUMAN	KRT7	Keratin, type II cytoskeletal 7					3346.79	2140.57	3695.52	3281.05					6468.36	6708.99			1128.97		1426.34	4948.37	1036.91	1850.66	3601.63	3715.45			1863.6	2339.66	4101.59	4001.79	3418.46	1335.24	1113.47			949.123		1544.9	2630.73	2263.22
P08754	P08754	GNAI3_HUMAN	GNAI3	Guanine nucleotide-binding protein G(i) subunit alpha-3	5219.31	4963.74	4828.7	7167.92	5197.5	3185.74			3599.14	4161.78	4151.91	5037.19	4575.18	3901.63	4332.68	3852.28	3489.18	3139.83	3467.26	3399.05	4403.33	4341.27	4104.87	4350.9	2807.48		5518.44	5947.07	7023.15	9949.23	4569.7	3412.22	5918.15	5254.94	2717.28	4014.73	2976.17	4158.58	2098.39	2883.98
P08758	P08758	ANXA5_HUMAN	ANXA5	Annexin A5	100431	48613	162693	127521	183384	153346	116379	86231.9	116306	134335	109724	111863	90561.4	88603.1	133713	114702	182429	176026	114671	93176.2	120794	101551	141847	136457	49880.1	53693	137591	129714	150692	125177	170452	134567	114075	83560.7	97974.3	79319.7	179553	156376	186135	193902
P08779	P08779	K1C16_HUMAN	KRT16	Keratin, type I cytoskeletal 16	4720.5	5101.96	7456.16	8373.01	10344.6	16424	4108.99	7609	2687.76	2824.52	5245.2	6349.07	4627.18	4238.14	2587.06	2476.26	8528.58	9150.7		3745.68	3396.33	2627.74	3549.28	3397.48		3398.84	3988.02	5044.42	6436.86	5455.59	6538.15	6593.37	4396.99	3172.35	5561.32	5219.47	5361.21	4799.32	6614.86	6798.13
P08833	P08833	IBP1_HUMAN	IGFBP1	Insulin-like growth factor-binding protein 1	1197.21		1011.2	660.252			1573.53	1004.5			588.791		1324.79	532.751					905.91	819.351			569.807				2035.55	1654.21	900.79	676.677	1102.36	952.253							4778.24	7455.53
P08865	P08865	RSSA_HUMAN	RPSA	40S ribosomal protein SA	4442.1	6027.95	6132.61	8126.91	6602.41	7901.39	17497.4	13903.8	6699.64	7447.79	7410.63	5179.7	9117.03	7054.5	8298.99	5153.95	5375.73	6991.57	5194.34	3077.42	6447.91	3594.79	5263.78	7993.79	17926.9	14191.8	5513.08	3611.98	4475.21	5403.16	5015.31	5510.61	5375.13	4577.53	2898.24	4411.5	6724.14	7831.92	3798.31	3118.39
P08962	P08962	CD63_HUMAN	CD63	CD63 antigen		10157.1	667.612						1377.25	2307.77		1598.92	1094.95	2039.53	3072.53	2637.4	1783.29	1609.5	2988.66	3326.18			1172.17					740.487		1530.91	1161.87	1464.83	1827.22	1010.8	2261.57	4314.77				1935.2
P09001	P09001	RM03_HUMAN	MRPL3	39S ribosomal protein L3, mitochondrial									569.301				2239.32	1101.91							229.488	491.868						517.054												
P09104	P09104	ENOG_HUMAN	ENO2	Gamma-enolase	20010.6	12471.2	11749	11800	12489.1	11728.2	10867.7	13839.5	21900	25721.2	16916.5	23046.5	9279.11	16752.8	14376.8	15601.5	25591.5	26205.9	16962	17372.4	14432.3	12594.6	17923.3	16697.2	26946	136640	23367.1	20071.9	13385.2	11998.7	9129.58	6806.1	25588.3	20014.2	19284.1	15255.6	19932	17695.3	21599.6	22092.7
P09110	P09110	THIK_HUMAN	ACAA1	3-ketoacyl-CoA thiolase, peroxisomal	1255		2710.44	2276.17	1686.66	1475.52			2486.88	2264.19	1084.88	1483.25	560.032	535.494	3118.89	3188.41	1495.31	1455.41	445.434	1569.96	1627.75	1838.03	1637.74	2166.75			1598.04	1891.78	2069.2	2408.44	5024.88	5089.75	891.37	2045.52	2509.99	2703.11				
P09211	P09211	GSTP1_HUMAN	GSTP1	Glutathione S-transferase P	50826.6	54511.3	48279.5	67113.6	54477.5	47822.8	33764.8	40489.4	49910.7	71368.5	38408.3	51615.8	38939.2	47720.3	42921.3	52109.8	94146.3	87431.3	52269.3	53285.5	43099.2	27434.9	46924.1	34030.7	96668.7	81027.6	36772.5	31856.2	76723.8	44757.4	50968.4	40079.4	57709.1	54319	67602.7	52769.3	49822.7	49550.1	33319.6	31200.6
P09237	P09237	MMP7_HUMAN	MMP7	Matrilysin			6392.88	3913.95			20130.1		850.621	1381.56	2467.95	5391.24					2209.21	2187.15	21785.4	30145.2			3785.42	4507.44							7943.05	6700.4	1022.88	1351.28	3693.72	4716.51	9521.33	5869.67	2745.35	3564.73
P09326	P09326	CD48_HUMAN	CD48	CD48 antigen			1247.71	691.485					1279.71	1423.12	1722.05	1390.51	1133.33	507.029	2135.25	2406.22	1385.5	1690.3	1583.28	1967.75	1579.46	1768.72	208.911				1037.98	586.182		763.135	2318.12	3552.15	1838.54	2467.89	884.01	2526.91	742.123	1832.58	1543.81	1697.35
P09382	P09382	LEG1_HUMAN	LGALS1	Galectin-1	48543.9	38479.6	54656.6	57237.2	46931.4	64660.3	35451.7	13688.8	42519.5	56278.4	43531.8	66448.1	39167.2	41322.1	35375.6	33977.9	52000.2	54826.2	28698.9	31985.1	37125	36652.8	64429.3	56980.1	60200.9	34432.8	63607.6	40689.2	123550	109302	37074.8	28233.1	49133.7	45214.1	38837.4	34839.6	84470.8	88057.6	64265.3	49314.3
P09417	P09417	DHPR_HUMAN	QDPR	Dihydropteridine reductase	2458.78	4199.42	4575.22	3930.82	2818.64	3473.34	5137.18	4740.99	4355.53	4529.88	5028.77	4467.51	2654.53	3219.9	3978.76	3528.53	5272.63	4701.51	3013.62	2396.24	3888.76	3003.96	2962.14	2430.66	7623.48	9764.63	4836.86	2802	2794.06	2451.46	3553.74	3804.74	4090.94	3431.4	2788.75	3507.2	3420.47	4414.75	4937.18	3607.51
P09429	B2RPK0;P09429	HMGB1_HUMAN	HMGB1	High mobility group protein B1	1285.77		1606.45		11528	9794.77	2290.09		16910	13875.9	1550.25	1840.43	5900.41	5897.38	10501.8	10367.9	11314.9	10035.7	4125.05	3049.31	13680.4	13106.1	4886.15	3596.1			3322.87	3433.12	4962.01	4814.16			10786.6	11067.7	7483.1	7776.36	6177.47	5668.06	2045.09	2313.91
P09429;P26583	P26583;P09429	HMGB1_HUMAN;HMGB2_HUMAN	HMGB1;HMGB2	High mobility group protein B1		1367			1761.75	2716.82	3249.68		3387.72	5122.96			4132.87	4059.47	3823.56	3922.95	3904.89	3750.6	1833.29	748.057	2468.84	3102.3	1609.26	1111.45					1703.55	1797.57			8331.74	2757.01	2159.75	2667	2028.34	1721.74	1515.7	
P09455	P09455	RET1_HUMAN	RBP1	Retinol-binding protein 1			999.503		1057.05	1079.05			753.654	952.516	1206.26	1028.78	907.719	830.11	478.536		1032.44		1469.78	814.116	1032.84	944.781	1177.85	900.301			1159.16			705.173					714.389					
P09467	P09467	F16P1_HUMAN	FBP1	Fructose-1,6-bisphosphatase 1	5676.09	2477.09	23200.4	17576.1	22595.3	15834.3	7928.67		35759.3	28450.6	73977.1	54806.3	9506.76	7091.36	26510.3	24584.2	7417	5873.11	30295.6	29707.1	25962.6	22031.5	15960	16642.8			17632.5	20100.5	5649.16	8929.13	15186.7	18240.3	13610.6	23915.8	23551.7	28505	19839.7	21377.9	15982.6	17575.9
P09471	P09471	GNAO_HUMAN	GNAO1	Guanine nucleotide-binding protein G(o) subunit alpha	393.615	964.283	607.303		831.146	1052.73	829.614		867.657	816.435	444.813		492.648	895.306	693.262	819.482	2305.15	1380.29					740.96	628.852			729.914	596.127	1445.66	1784.55			1522.79	1656.9	1178.09	694.907	836.405	534.283	624.495	
P09486	P09486	SPRC_HUMAN	SPARC	SPARC	4131.56	4234.15	5160.31	5893.4	8148.97	7597.3			10467.2	9345.62	9730.43	7596.95	10793.2	8583.33	15991	14552.3	28132.4	27960.4	10804	12604.3	13058.7	10374.5	6275.84	8922.2			9576.48	9873.08	6200.62	6692.52	9371.9	9353.58	13202.9	12137.7	11769	9393.23	7249.14	10603.6	21012	18700.5
P09488	P09488;P46439	GSTM1_HUMAN	GSTM1	Glutathione S-transferase Mu 1			6007.7						20017	18418.3	23517	15449.6	10382.2	8927.38	6477.16	6511.24	11228.8	13288.8	4953.47	6585.07	14955.1	16870.7	13624	12288.5			4164.92	4473.72	5415.49	4782.84	7011.59	7729.2		3607.6			6249.21	6010.97	10167.2	11115.3
